formulaRank	molecularFormula	adduct	precursorFormula	NPC#pathway	NPC#pathway Probability	NPC#superclass	NPC#superclass Probability	NPC#class	NPC#class Probability	ClassyFire#superclass	ClassyFire#superclass probability	ClassyFire#class	ClassyFire#class Probability	ClassyFire#subclass	ClassyFire#subclass Probability	ClassyFire#level 5	ClassyFire#level 5 Probability	ClassyFire#most specific class	ClassyFire#most specific class Probability	ClassyFire#all classifications	ionMass	retentionTimeInSeconds	retentionTimeInMinutes	formulaId	alignedFeatureId	mappingFeatureId	overallFeatureQuality
1	C35H67N5O9	[M + H]+	C35H68N5O9+	Amino acids and Peptides	0.888	Oligopeptides	0.993	Cyclic peptides	0.585	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.996	Amino acids, peptides, and analogues	0.968	Amino acids and derivatives	0.957	Alpha amino acids and derivatives	0.960	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	702.499	385	6.418	740686379679431135	740686087831364639	28047	
1	C33H63N5O8	[M + H]+	C33H64N5O8+	Amino acids and Peptides	0.903	Oligopeptides	0.992	Lipopeptides	0.664	Organic acids and derivatives	0.999	Peptidomimetics	0.549	Depsipeptides	0.590	Cyclic depsipeptides	0.601	Cyclic depsipeptides	0.601	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Lactones; Alpha amino acids and derivatives; Macrolactams; Alcohols and polyols; Lactams; Phenylpropanoids and polyketides; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Alpha amino acid esters; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acid esters; Secondary alcohols; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Peptidomimetics; Carbonyl compounds; Depsipeptides; Cyclic depsipeptides; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	658.473	386	6.430	740686377838131133	740686087802004506	28101	
1	C38H62O4P	[M + H]+	C38H63O4P+	Fatty acids	1.000	Glycerophospholipids	0.999	Glycerophosphates	1.000	Lipids and lipid-like molecules	0.958	Glycerophospholipids	0.535	Glycerophosphates	0.896			Glycerophosphates	0.896	Organic compounds; Lipids and lipid-like molecules; Glycerolipids; Glycerophospholipids; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Fatty acid esters; Organic phosphoric acids and derivatives; Phosphate esters; Carboxylic acid derivatives; Monocarboxylic acids and derivatives; Carboxylic acid esters; Carbonyl compounds; Glycerophosphates; Alkyl phosphates; Monoalkyl phosphates; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	614.448	387	6.450	740686378345642067	740686087294493702	28158	
1	C29H55N5O6	[M + H]+	C29H56N5O6+	Amino acids and Peptides	0.959	Oligopeptides	0.987	Lipopeptides	0.205	Organic acids and derivatives	0.998	Carboxylic acids and derivatives	0.992	Amino acids, peptides, and analogues	0.980	Peptides	0.565	Peptides	0.565	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Pyrrolidines; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Monocarboxylic acids and derivatives; N-acyl-alpha amino acids and derivatives; Carboxylic acids; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Pyrrolidine carboxylic acids and derivatives; Alpha amino acid amides; N-acylpyrrolidines; Fatty Acyls; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Proline and derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	570.421	388	6.466	740686377724884904	740686087042835452	28209	
1	C32H58O11	[M + K]+	C32H58KO11+	Polyketides	0.804	Polyethers	0.243	Open-chain polyketides	0.188	Organic oxygen compounds	1.000	Organooxygen compounds	1.000	Carbohydrates and carbohydrate conjugates	0.813	Glycosyl compounds	0.631	O-glycosyl compounds	0.653	Organic compounds; Organoheterocyclic compounds; Carbohydrates and carbohydrate conjugates; Lipids and lipid-like molecules; Alcohols and polyols; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Monosaccharides; Acetals; Secondary alcohols; Carbonyl compounds; Oxanes; Glycosyl compounds; O-glycosyl compounds; Polyols; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	657.362	392	6.542	740686381025802884	740686087697146901	28370	
1	C32H40O8	[M + H]+	C32H41O8+	Polyketides	0.348	Triterpenoids	0.362	Depsides and depsidones	0.276	Benzenoids	0.861							Benzenoids	0.861	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Benzenoids; Organic oxides; Oxacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	553.281	400	6.667	740686402047655444	740686086677930994	29568	
1	C21H41N3O3	[M + Na]+	C21H41N3NaO3+	Alkaloids	0.751	Ornithine alkaloids	0.215	Open-chain polyketides	0.323	Organic acids and derivatives	0.888	Carboxylic acids and derivatives	0.842	Amino acids, peptides, and analogues	0.639	Amino acids and derivatives	0.640	Amino acids and derivatives	0.640	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alcohols and polyols; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Carboxylic acid amides; Carboxylic acid derivatives; Carbonyl compounds; Amines; Organic oxides; Azacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	406.303	415	6.925	740686392677580085	740686085390279616	31114	
1	C24H35NO3	[M + H]+	C24H36NO3+	Fatty acids	0.667	Fatty amides	0.611	N-acyl amines	0.229	Lipids and lipid-like molecules	0.930	Fatty Acyls	0.940	Fatty amides	0.923	N-acyl amines	0.905	N-acyl amines	0.905	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Styrenes; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzodioxoles; Organooxygen compounds; Fatty amides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; Acetals; Secondary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Fatty Acyls; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	386.267	419	6.987	740686392400755970	740686085167981494	31616	
1	C25H33NO3	[M + H]+	C25H34NO3+	Alkaloids	0.998	Lysine alkaloids	0.999	Piperidine alkaloids	1.000	Organoheterocyclic compounds	1.000	Benzodioxoles	0.999					Benzodioxoles	0.999	Organic compounds; Organoheterocyclic compounds; Styrenes; Piperidines; Ethers; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Benzodioxoles; Organooxygen compounds; N-acylpiperidines; Carboxylic acid amides; Carboxylic acid derivatives; Acetals; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Benzenoids; Organic oxides; Azacyclic compounds; Oxacyclic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	396.253	426	7.101	740686393285754178	740686085281227707	31996	
1	C23H43FN6O2	[M + H]+	C23H44FN6O2+	Alkaloids	0.641	Pseudoalkaloids (transamidation)	0.178	Purine alkaloids	0.149	Organic acids and derivatives	0.884	Carboxylic acids and derivatives	0.784	Amino acids, peptides, and analogues	0.706	Amino acids and derivatives	0.706	Amino acids and derivatives	0.706	Organic compounds; Organoheterocyclic compounds; Amino acids, peptides, and analogues; Pyrimidines and pyrimidine derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organohalogen compounds; Organonitrogen compounds; Organooxygen compounds; Amino acids and derivatives; Azoles; Carboxylic acid amides; Alkyl fluorides; Carboxylic acid derivatives; Aminopyrimidines and derivatives; Diazines; Organofluorides; Carbonyl compounds; Amines; Tertiary amines; Alkyl halides; Imidolactams; Organic oxides; Azacyclic compounds; Heteroaromatic compounds; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	455.352	426	7.105	740686390962109548	740686086149448665	31950	
1	C19H38O4	[M + H]+	C19H39O4+	Fatty acids	1.000	Glycerolipids	0.987	Monoacylglycerols	0.992	Lipids and lipid-like molecules	0.996	Glycerolipids	0.969	Monoradylglycerols	0.972	Monoacylglycerols	0.951	1-monoacylglycerols	0.821	Organic compounds; Lipids and lipid-like molecules; Alcohols and polyols; Glycerolipids; Organic acids and derivatives; Carboxylic acids and derivatives; Primary alcohols; Organooxygen compounds; Fatty acid esters; Carboxylic acid derivatives; Monoacylglycerols; Monocarboxylic acids and derivatives; Carboxylic acid esters; 1-monoacylglycerols; Secondary alcohols; Carbonyl compounds; Polyols; 1,2-diols; Monoradylglycerols; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	331.284	430	7.167	740686389426994158	740686084077462414	32290	
1	C32H40O7	[M + H]+	C32H41O7+	Polyketides	0.438	Triterpenoids	0.251	Limonoids	0.103	Lipids and lipid-like molecules	0.570							Lipids and lipid-like molecules	0.570	Organic compounds; Organoheterocyclic compounds; Lipids and lipid-like molecules; Ketones; Organic acids and derivatives; Carboxylic acids and derivatives; Organooxygen compounds; Carboxylic acid derivatives; Carboxylic acid esters; Carbonyl compounds; Organic oxides; Oxacyclic compounds; Hydrocarbon derivatives; Organic oxygen compounds; Chemical entities	537.286	440	7.337	740686398323113471	740686086577267693	33492	
1	C26H44N6O4	[M + H]+	C26H45N6O4+	Amino acids and Peptides	0.989	Oligopeptides	0.867	Tripeptides	0.409	Organic acids and derivatives	0.999	Carboxylic acids and derivatives	0.996	Amino acids, peptides, and analogues	0.978	Peptides	0.735	Peptides	0.735	Organic compounds; Lipids and lipid-like molecules; Amino acids, peptides, and analogues; Alpha amino acids and derivatives; Phenethylamines; Amphetamines and derivatives; Organic acids and derivatives; Carboxylic acids and derivatives; Organonitrogen compounds; Organooxygen compounds; Fatty amides; Amino acids and derivatives; Peptides; Carboxylic acid amides; Carboxylic acid derivatives; N-acyl amines; N-acyl-alpha amino acids and derivatives; Primary carboxylic acid amides; Secondary carboxylic acid amides; Tertiary carboxylic acid amides; Carbonyl compounds; Benzene and substituted derivatives; Alpha amino acid amides; Benzenoids; Fatty Acyls; Organic oxides; Hydrocarbon derivatives; Organopnictogen compounds; Organic oxygen compounds; Organic nitrogen compounds; Chemical entities	505.350	460	7.667	740686383240395596	740686086451438568	36017	
